name,year,genre,rating,director,votes
Turistas,2006,Horror/Mystery/Thriller,5.4,John Stockwell,"39,687"
The Ring Two,2005,Horror/Mystery,5.4,Hideo Nakata,"98,602"
Red Riding Hood,2011,Fantasy/Horror/Mystery,5.4,Catherine Hardwicke,113995
Winchester,2018,Drama/Fantasy/Horror,5.4,Michael Spierig,"35,434"
My Bloody Valentine,2009,Horror/Mystery/Thriller,5.4,Patrick Lussier,"58,571"
Jessabelle,2014,Drama/Horror/Mystery,5.4,Kevin Greutert,"25,037"
The Eye,2008,Horror/Mystery,5.4,David Moreau,"55,021"
Tusk I,2014,Comedy/Horror,5.3,Kevin Smith,"58,591"
The Invitation II,2022,Horror/Thriller,5.3,Jessica M. Thompson,"26,160"
The Nun,2018,Horror/Mystery/Thriller,5.3,Corin Hardy,148299
The Green Inferno,2013,Adventure/Horror,5.3,Eli Roth,"46,716"
The Predator,2018,Action/Adventure/Horror,5.3,Shane Black,138182
Scary Movie 2,2001,Comedy/Horror,5.3,Keenen Ivory Wayans,167717
Legion,2010,Action/Fantasy/Horror,5.3,Scott Stewart,108043
The New Mutants,2020,Action/Horror/Mystery,5.3,Josh Boone,"84,381"
Things Heard & Seen,2021,Drama/Horror/Mystery,5.3,Shari Springer Berman,"33,777"
Sinister 2,2015,Horror/Mystery/Thriller,5.3,Ciar¨¢n Foy,"57,723"
The Silence I,2019,Drama/Horror/Sci-Fi,5.3,John R. Leonetti,"48,055"
Resident Evil: Retribution,2012,Action/Horror/Sci-Fi,5.3,Paul W.S. Anderson,146296
The Stepford Wives,2004,Comedy/Horror/Sci-Fi,5.3,Frank Oz,"68,040"
The Messengers,2007,Drama/Horror/Mystery,5.3,Danny Pang,"40,604"
The Resident,2011,Crime/Drama/Horror,5.3,Antti J. Jokinen,"28,945"
The Colony I,2013,Action/Horror/Sci-Fi,5.3,Jeff Renfroe,"46,277"
Doom,2005,Action/Horror/Sci-Fi,5.2,Andrzej Bartkowiak,116192
Morbius,2022,Action/Adventure/Horror,5.2,Daniel Espinosa,137749
The Covenant,2006,Action/Adventure/Fantasy,5.2,Renny Harlin,"50,834"
Resident Evil: Welcome to Raccoon City,2021,Action/Horror/Sci-Fi,5.2,Johannes Roberts,"58,422"
Hellboy,2019,Action/Adventure/Fantasy,5.2,Neil Marshall,"94,121"
Spiral,2021,Horror/Mystery/Thriller,5.2,Darren Lynn Bousman,"58,812"
Flatliners,2017,Drama/Horror/Mystery,5.2,Niels Arden Oplev,"49,170"
The Mummy: Tomb of the Dragon Emperor,2008,Action/Adventure/Fantasy,5.2,Rob Cohen,166078
The Bad Batch,2016,Action/Horror/Mystery,5.2,Ana Lily Amirpour,"33,671"
Spawn,1997,Action/Drama/Horror,5.2,Mark A.Z. Dipp¨¦,"70,341"
Truth or Dare I,2018,Horror/Thriller,5.2,Jeff Wadlow,"59,199"
The Curse of La Llorona,2019,Horror/Mystery/Thriller,5.2,Michael Chaves,"53,361"
Queen of the Damned,2002,Drama/Fantasy/Horror,5.2,Michael Rymer,"57,951"
Scooby-Doo 2: Monsters Unleashed,2004,Adventure/Comedy/Family,5.2,Raja Gosnell,"61,313"
Hubie Halloween,2020,Comedy/Horror/Mystery,5.2,Steven Brill,"53,916"
A Nightmare on Elm Street,2010,Crime/Drama/Horror,5.2,Samuel Bayer,103828
The First Purge,2018,Action/Horror/Sci-Fi,5.2,Gerard McMurray,"66,568"
The Strangers: Prey at Night,2018,Horror,5.2,Johannes Roberts,"32,686"
Friday the 13th Part VII: The New Blood,1988,Horror/Thriller,5.2,John Carl Buechler,"39,646"
Shutter I,2008,Horror/Mystery/Thriller,5.2,Masayuki Ochiai,"36,208"
Cult of Chucky,2017,Horror/Thriller,5.2,Don Mancini,"27,436"
Apollo 18,2011,Horror/Mystery/Sci-Fi,5.2,Gonzalo L¨®pez-Gallego,"56,777"
The Lazarus Effect,2015,Horror/Mystery/Sci-Fi,5.2,David Gelb,"44,970"
The Lords of Salem,2012,Horror/Thriller,5.2,Rob Zombie,"31,229"
Friend Request,2016,Horror/Mystery/Thriller,5.2,Simon Verhoeven,"27,158"
The Unholy,2021,Drama/Horror/Mystery,5.1,Evan Spiliotopoulos,"25,389"
The Haunted Mansion,2003,Comedy/Family/Fantasy,5.1,Rob Minkoff,"51,618"
The Final Destination,2009,Horror/Thriller,5.1,David R. Ellis,110457
Sorority Row,2009,Horror/Mystery,5.1,Stewart Hendler,"31,640"
The Hills Have Eyes 2,2007,Horror/Thriller,5.1,Martin Weisz,"65,955"
When a Stranger Calls,2006,Horror/Thriller,5.1,Simon West,"47,247"
The Cave,2005,Adventure/Horror/Sci-Fi,5.1,Bruce Hunt,"40,180"
Halloween III: Season of the Witch,1982,Horror/Mystery/Sci-Fi,5.1,Tommy Lee Wallace,"57,269"
Exorcist: The Beginning,2004,Horror/Mystery/Thriller,5.1,Renny Harlin,"37,959"
Child's Play 3,1991,Horror/Thriller,5.1,Jack Bender,"43,765"
An American Werewolf in Paris,1997,Comedy/Fantasy/Horror,5.1,Anthony Waller,"26,134"
Grave Encounters 2,2012,Horror/Mystery,5.1,John Poliquin,"26,222"
A Serbian Film,2010,Horror/Mystery/Thriller,5,Srdjan Spasojevic,"67,662"
Halloween Ends,2022,Horror/Thriller,5,David Gordon Green,"62,008"
Shadow in the Cloud,2020,Action/Horror/War,5,Roseanne Liang,"28,700"
47 Meters Down: Uncaged,2019,Adventure/Drama/Horror,5,Johannes Roberts,"28,859"
Leatherface,2017,Crime/Horror/Thriller,5,Alexandre Bustillo,"25,704"
The Haunting,1999,Fantasy/Horror/Mystery,5,Jan de Bont,"78,402"
A Haunted House,2013,Comedy/Fantasy/Horror,5,Michael Tiddes,"48,272"
How It Ends,2018,Action/Drama/Horror,5,David M. Rosenthal,"55,729"
Blair Witch,2016,Horror/Mystery/Thriller,5,Adam Wingard,"47,890"
Virus,1999,Action/Horror/Sci-Fi,5,John Bruno,"29,017"
Stay Alive,2006,Fantasy/Horror/Mystery,5,William Brent Bell,"33,235"
A Nightmare on Elm Street: The Dream Child,1989,Fantasy/Horror,5,Stephen Hopkins,"48,222"
See No Evil,2006,Action/Horror/Thriller,5,Gregory Dark,"28,075"
Chernobyl Diaries,2012,Horror/Mystery/Thriller,5,Bradley Parker,"67,339"
Cursed,2005,Comedy/Horror,5,Wes Craven,"34,024"
Paranormal Activity: The Marked Ones,2014,Horror/Mystery,5,Christopher Landon,"44,216"
The Grudge 2,2006,Horror/Thriller,5,Takashi Shimizu,"50,475"
[REC] 3: Genesis,2012,Horror/Thriller,5,Paco Plaza,"36,765"
An American Haunting,2005,Drama/Horror/Mystery,5,Courtney Solomon,"26,374"
Knock Knock I,2015,Crime/Drama/Horror,4.9,Eli Roth,"99,384"
The Darkest Hour,2011,Action/Adventure/Horror,4.9,Chris Gorak,"62,428"
Fantasy Island,2020,Fantasy/Horror/Mystery,4.9,Jeff Wadlow,"55,082"
Dracula 2000,2000,Action/Fantasy/Horror,4.9,Patrick Lussier,"35,130"
Silent Hill: Revelation,2012,Horror/Mystery/Thriller,4.9,M.J. Bassett,"65,270"
Seed of Chucky,2004,Comedy/Horror/Thriller,4.9,Don Mancini,"47,581"
Ghosts of Mars,2001,Action/Horror/Sci-Fi,4.9,John Carpenter,"56,213"
Poltergeist,2015,Horror/Thriller,4.9,Gil Kenan,"59,621"
Darkness Falls,2003,Fantasy/Horror/Mystery,4.9,Jonathan Liebesman,"32,613"
Valentine,2001,Horror/Mystery/Thriller,4.9,Jamie Blanks,"29,306"
Halloween 5: The Revenge of Michael Myers,1989,Horror/Thriller,4.9,Dominique Othenin-Girard,"44,618"
Vanishing on 7th Street,2010,Horror/Mystery/Thriller,4.9,Brad Anderson,"26,800"
Anaconda,1997,Action/Adventure/Horror,4.8,Luis Llosa,108000
Texas Chainsaw,2013,Horror/Thriller,4.8,John Luessenhop,"53,682"
The Forest I,2016,Horror/Mystery/Thriller,4.8,Jason Zada,"44,543"
Leprechaun,1993,Comedy/Fantasy/Horror,4.8,Mark Jones,"28,663"
The Roommate I,2011,Drama/Horror/Thriller,4.8,Christian E. Christiansen,"40,236"
Halloween II,2009,Horror,4.8,Rob Zombie,"57,387"
Meet the Blacks,2016,Comedy/Horror,4.8,Deon Taylor,"37,146"
The Woman in Black 2: Angel of Death,2014,Drama/Horror/Thriller,4.8,Tom Harper,"28,992"
Godsend,2004,Action/Drama/Fantasy,4.8,Frank M. Calo,"26,088"
Texas Chainsaw Massacre,2022,Crime/Horror/Thriller,4.7,David Blue Garcia,"56,803"
The Unborn,2009,Horror/Mystery/Thriller,4.7,David S. Goyer,"52,574"
Friday the 13th: A New Beginning,1985,Horror/Mystery/Thriller,4.7,Danny Steinmann,"41,029"
I Still Know What You Did Last Summer,1998,Horror/Mystery/Thriller,4.7,Danny Cannon,"76,322"
Anacondas: The Hunt for the Blood Orchid,2004,Action/Adventure/Horror,4.7,Dwight H. Little,"32,734"
Halloween: The Curse of Michael Myers,1995,Horror/Thriller,4.7,Joe Chappelle,"39,712"
Freddy's Dead: The Final Nightmare,1991,Fantasy/Horror,4.7,Rachel Talalay,"48,694"
Pulse I,2006,Horror/Sci-Fi/Thriller,4.7,Jim Sonzero,"30,021"
Death Note I,2017,Crime/Drama/Fantasy,4.6,Adam Wingard,"87,627"
Aliens vs. Predator: Requiem,2007,Action/Adventure/Horror,4.6,Colin Strause,129458
Psycho,1998,Horror/Mystery/Thriller,4.6,Gus Van Sant,"49,550"
Paranormal Activity 4,2012,Horror/Mystery,4.6,Henry Joost,"68,431"
The Pyramid,2014,Horror/Mystery/Thriller,4.6,Gr¨¦gory Levasseur,"25,483"
Black Christmas,2006,Horror,4.6,Glen Morgan,"28,952"
Paranormal Activity: The Ghost Dimension,2015,Horror/Mystery,4.6,Gregory Plotkin,"29,413"
The Island of Dr. Moreau,1996,Horror/Sci-Fi/Thriller,4.5,John Frankenheimer,"34,527"
Ouija II,2014,Horror/Mystery/Thriller,4.5,Stiles White,"54,888"
Rings,2017,Drama/Horror/Mystery,4.5,F. Javier Guti¨¦rrez,"41,974"
Species II,1998,Action/Horror/Sci-Fi,4.5,Peter Medak,"30,268"
Friday the 13th Part VIII: Jason Takes Manhattan,1989,Adventure/Horror/Thriller,4.5,Rob Hedden,"40,404"
The Human Centipede (First Sequence),2009,Horror,4.4,Tom Six,"82,947"
Jason X,2001,Action/Horror/Sci-Fi,4.4,James Isaac,"58,799"
Cell I,2016,Action/Adventure/Horror,4.4,Tod Williams,"29,193"
The Grudge I,2020,Fantasy/Horror,4.4,Nicolas Pesce,"27,873"
The Bye Bye Man,2017,Drama/Fantasy/Horror,4.3,Stacy Title,"25,127"
Boogeyman,2005,Drama/Horror/Mystery,4.2,Stephen Kay,"31,868"
The Devil Inside,2012,Horror,4.2,William Brent Bell,"36,661"
Jason Goes to Hell: The Final Friday,1993,Fantasy/Horror/Thriller,4.1,Adam Marcus,"34,519"
Shark Night,2011,Action/Adventure/Horror,4,David R. Ellis,"26,648"
One Missed Call,2008,Horror/Mystery,4,Eric Valette,"33,249"
Book of Shadows: Blair Witch 2,2000,Adventure/Fantasy/Horror,4,Joe Berlinger,"39,110"
Prom Night I,2008,Horror,3.9,Nelson McCormick,"36,982"
Halloween: Resurrection,2002,Horror/Thriller,3.9,Rick Rosenthal,"46,928"
Plan 9 from Outer Space,1957,Horror/Sci-Fi,3.9,Edward D. Wood Jr.,"39,496"
Piranha 3DD,2012,Comedy/Horror/Sci-Fi,3.8,John Gulager,"44,248"
The Human Centipede 2 (Full Sequence),2011,Horror,3.8,Tom Six,"40,950"
The Wicker Man,2006,Horror/Mystery/Thriller,3.8,Neil LaBute,"69,700"
Exorcist II: The Heretic,1977,Horror,3.8,John Boorman,"25,949"
Jaws 3-D,1983,Adventure/Horror/Thriller,3.7,Joe Alves,"46,082"
The Fog,2005,Horror/Mystery,3.7,Rupert Wainwright,"38,246"
I Know Who Killed Me,2007,Horror/Mystery/Thriller,3.6,Chris Sivertson,"30,446"
Scary Movie V,2013,Comedy/Horror,3.5,Malcolm D. Lee,"74,534"
Vampires Suck,2010,Comedy/Horror,3.4,Jason Friedberg,"50,206"
The Open House,2018,Horror/Thriller,3.3,Matt Angel,"35,819"
Slender Man I,2018,Horror/Mystery/Thriller,3.2,Sylvain White,"36,238"
Jaws: The Revenge,1987,Adventure/Horror/Thriller,3,Joseph Sargent,"47,708"
BloodRayne,2005,Action/Fantasy/Horror,3,Uwe Boll,"36,527"
Troll 2,1990,Comedy/Fantasy/Horror,2.9,Claudio Fragasso,"33,908"
Laxmii,2020,Action/Comedy/Horror,2.5,Raghava Lawrence,"58,053"
Alone in the Dark,2005,Action/Horror/Sci-Fi,2.4,Uwe Boll,"46,403"
House of the Dead,2003,Action/Adventure/Horror,2.1,Uwe Boll,"38,041"
Manos: The Hands of Fate,1966,Horror,1.6,Harold P. Warren,"37,060"
