name,year,genre,rating,director,votes
World War Z,2013,Action/Adventure/Horror,7,Marc Forster,688746
Constantine,2005,Action/Fantasy/Horror,7,Francis Lawrence,359071
Pitch Black,2000,Action/Horror/Sci-Fi,7,David Twohy,247313
Hotel Transylvania,2012,Animation/Adventure/Comedy,7,Genndy Tartakovsky,266508
Hellboy II: The Golden Army,2008,Action/Adventure/Fantasy,7,Guillermo del Toro,278818
Green Room,2015,Crime/Drama/Horror,7,Jeremy Saulnier,131693
Fright Night,1985,Fantasy/Horror,7,Tom Holland,"74,547"
Raw,2016,Drama/Horror,7,Julia Ducournau,"83,304"
Brotherhood of the Wolf,2001,Action/Adventure/Drama,7,Christophe Gans,"68,793"
Shutter II,2004,Horror/Mystery/Thriller,7,Banjong Pisanthanakun,"47,015"
Thelma,2017,Drama/Fantasy/Horror,7,Joachim Trier,"34,644"
Henry: Portrait of a Serial Killer,1986,Biography/Crime/Drama,7,John McNaughton,"38,529"
Tenebrae,1982,Drama/Horror/Mystery,7,Dario Argento,"25,691"
Carnival of Souls,1962,Horror/Mystery,7,Herk Harvey,"26,143"
The Mummy,1932,Fantasy/Horror,7,Karl Freund,"28,354"
Doctor Strange in the Multiverse of Madness,2022,Action/Adventure/Fantasy,6.9,Sam Raimi,440936
The Black Phone,2021,Horror/Thriller,6.9,Scott Derrickson,168369
The VVitch: A New-England Folktale,2015,Drama/Fantasy/Horror,6.9,Robert Eggers,277751
Climax I,2018,Drama/Horror/Music,6.9,Gaspar No¨¦,"73,695"
28 Weeks Later,2007,Action/Adventure/Horror,6.9,Juan Carlos Fresnadillo,284000
Hocus Pocus,1993,Comedy/Family/Fantasy,6.9,Kenny Ortega,145947
Hellraiser,1987,Horror/Thriller,6.9,Clive Barker,132887
Near Dark,1987,Horror,6.9,Kathryn Bigelow,"42,670"
Ravenous,1999,Adventure/Drama/Horror,6.9,Antonia Bird,"41,616"
Altered States,1980,Horror/Sci-Fi/Thriller,6.9,Ken Russell,"36,892"
Stir of Echoes,1999,Horror/Mystery/Thriller,6.9,David Koepp,"84,251"
Bubba Ho-Tep,2002,Comedy/Fantasy/Horror,6.9,Don Coscarelli,"50,182"
A Girl Walks Home Alone at Night,2014,Drama/Horror/Romance,6.9,Ana Lily Amirpour,"37,115"
The Monster Squad,1987,Action/Comedy/Fantasy,6.9,Fred Dekker,"33,711"
Creature from the Black Lagoon,1954,Horror/Sci-Fi,6.9,Jack Arnold,"32,344"
Troll Hunter,2010,Drama/Fantasy/Horror,6.9,Andr¨¦ ?vredal,"77,389"
Shadow of the Vampire,2000,Drama/Horror,6.9,E. Elias Merhige,"43,072"
Frankenweenie,2012,Animation/Comedy/Drama,6.9,Tim Burton,112066
Bhoot Police,2021,Comedy/Horror,6.9,Pavan Kirpalani,"26,993"
Nope,2022,Horror/Mystery/Sci-Fi,6.8,Jordan Peele,232097
Bones and All,2022,Drama/Horror/Romance,6.8,Luca Guadagnino,"43,064"
Ready or Not I,2019,Action/Comedy/Horror,6.8,Matt Bettinelli-Olpin,164600
Insidious I,2010,Horror/Mystery/Thriller,6.8,James Wan,319707
It Follows,2014,Horror/Mystery/Thriller,6.8,David Robert Mitchell,253503
Annihilation I,2018,Adventure/Drama/Horror,6.8,Alex Garland,340306
Sinister,2012,Horror/Mystery/Thriller,6.8,Scott Derrickson,264038
